date_id,quarter,date,year,month,fin_year,quarter_label
1,"Dec 2004",2004-12-01,2004,12,2005,Q2
2,"Mar 2005",2005-03-01,2005,3,2005,Q3
3,"Jun 2005",2005-06-01,2005,6,2005,Q4
4,"Sep 2005",2005-09-01,2005,9,2006,Q1
5,"Dec 2005",2005-12-01,2005,12,2006,Q2
6,"Mar 2006",2006-03-01,2006,3,2006,Q3
7,"Jun 2006",2006-06-01,2006,6,2006,Q4
8,"Sep 2006",2006-09-01,2006,9,2007,Q1
9,"Dec 2006",2006-12-01,2006,12,2007,Q2
10,"Mar 2007",2007-03-01,2007,3,2007,Q3
11,"Jun 2007",2007-06-01,2007,6,2007,Q4
12,"Sep 2007",2007-09-01,2007,9,2008,Q1
13,"Dec 2007",2007-12-01,2007,12,2008,Q2
14,"Mar 2008",2008-03-01,2008,3,2008,Q3
15,"Jun 2008",2008-06-01,2008,6,2008,Q4
16,"Sep 2008",2008-09-01,2008,9,2009,Q1
17,"Dec 2008",2008-12-01,2008,12,2009,Q2
18,"Mar 2009",2009-03-01,2009,3,2009,Q3
19,"Jun 2009",2009-06-01,2009,6,2009,Q4
20,"Sep 2009",2009-09-01,2009,9,2010,Q1
21,"Dec 2009",2009-12-01,2009,12,2010,Q2
22,"Mar 2010",2010-03-01,2010,3,2010,Q3
23,"Jun 2010",2010-06-01,2010,6,2010,Q4
24,"Sep 2010",2010-09-01,2010,9,2011,Q1
25,"Dec 2010",2010-12-01,2010,12,2011,Q2
26,"Mar 2011",2011-03-01,2011,3,2011,Q3
27,"Jun 2011",2011-06-01,2011,6,2011,Q4
28,"Sep 2011",2011-09-01,2011,9,2012,Q1
29,"Dec 2011",2011-12-01,2011,12,2012,Q2
30,"Mar 2012",2012-03-01,2012,3,2012,Q3
31,"Jun 2012",2012-06-01,2012,6,2012,Q4
32,"Sep 2012",2012-09-01,2012,9,2013,Q1
33,"Dec 2012",2012-12-01,2012,12,2013,Q2
34,"Mar 2013",2013-03-01,2013,3,2013,Q3
35,"Jun 2013",2013-06-01,2013,6,2013,Q4
36,"Sep 2013",2013-09-01,2013,9,2014,Q1
37,"Dec 2013",2013-12-01,2013,12,2014,Q2
38,"Mar 2014",2014-03-01,2014,3,2014,Q3
39,"Jun 2014",2014-06-01,2014,6,2014,Q4
40,"Sep 2014",2014-09-01,2014,9,2015,Q1
41,"Dec 2014",2014-12-01,2014,12,2015,Q2
42,"Mar 2015",2015-03-01,2015,3,2015,Q3
43,"Jun 2015",2015-06-01,2015,6,2015,Q4
44,"Sep 2015",2015-09-01,2015,9,2016,Q1
45,"Dec 2015",2015-12-01,2015,12,2016,Q2
46,"Mar 2016",2016-03-01,2016,3,2016,Q3
47,"Jun 2016",2016-06-01,2016,6,2016,Q4
48,"Sep 2016",2016-09-01,2016,9,2017,Q1
49,"Dec 2016",2016-12-01,2016,12,2017,Q2
50,"Mar 2017",2017-03-01,2017,3,2017,Q3
51,"Jun 2017",2017-06-01,2017,6,2017,Q4
52,"Sep 2017",2017-09-01,2017,9,2018,Q1
53,"Dec 2017",2017-12-01,2017,12,2018,Q2
54,"Mar 2018",2018-03-01,2018,3,2018,Q3
55,"Jun 2018",2018-06-01,2018,6,2018,Q4
56,"Sep 2018",2018-09-01,2018,9,2019,Q1
57,"Dec 2018",2018-12-01,2018,12,2019,Q2
58,"Mar 2019",2019-03-01,2019,3,2019,Q3
59,"Jun 2019",2019-06-01,2019,6,2019,Q4
60,"Sep 2019",2019-09-01,2019,9,2020,Q1
61,"Dec 2019",2019-12-01,2019,12,2020,Q2
62,"Mar 2020",2020-03-01,2020,3,2020,Q3
63,"Jun 2020",2020-06-01,2020,6,2020,Q4
64,"Sep 2020",2020-09-01,2020,9,2021,Q1
65,"Dec 2020",2020-12-01,2020,12,2021,Q2
66,"Mar 2021",2021-03-01,2021,3,2021,Q3
67,"Jun 2021",2021-06-01,2021,6,2021,Q4
68,"Sep 2021",2021-09-01,2021,9,2022,Q1
69,"Dec 2021",2021-12-01,2021,12,2022,Q2
70,"Mar 2022",2022-03-01,2022,3,2022,Q3
71,"Jun 2022",2022-06-01,2022,6,2022,Q4
72,"Sep 2022",2022-09-01,2022,9,2023,Q1
73,"Dec 2022",2022-12-01,2022,12,2023,Q2
74,"Mar 2023",2023-03-01,2023,3,2023,Q3
75,"Jun 2023",2023-06-01,2023,6,2023,Q4
76,"Sep 2023",2023-09-01,2023,9,2024,Q1
77,"Dec 2023",2023-12-01,2023,12,2024,Q2
78,"Mar 2024",2024-03-01,2024,3,2024,Q3
79,"Jun 2024",2024-06-01,2024,6,2024,Q4
80,"Sep 2024",2024-09-01,2024,9,2025,Q1
81,"Dec 2024",2024-12-01,2024,12,2025,Q2
82,"Mar 2025",2025-03-01,2025,3,2025,Q3
83,"Jun 2025",2025-06-01,2025,6,2025,Q4
84,"Sep 2025",2025-09-01,2025,9,2026,Q1
85,"Dec 2025",2025-12-01,2025,12,2026,Q2
